Best_Acc	Student_ACC	EMA_ACC	Validate_Acc	Ema_Valid_Acc	
70.425348	69.932203	70.000000	57.535286	70.425348	
70.535766	69.322034	70.474576	69.231877	70.535766	
70.535766	70.033898	70.474576	68.561690	70.448392	
70.540566	69.525424	69.559322	66.983197	70.540566	
70.609698	69.830508	70.949153	70.439750	70.609698	
70.609698	70.542373	70.677966	70.033605	70.581853	
70.650984	70.610169	70.440678	70.518483	70.650984	
70.650984	69.898305	70.101695	69.850216	70.632741	
70.701872	70.338983	70.644068	69.872300	70.701872	
70.743159	70.169492	70.610169	69.922228	70.743159	
70.812290	70.542373	70.610169	27.614978	70.812290	
70.840134	69.694915	70.847458	70.379261	70.840134	
70.881421	69.118644	70.372881	59.300048	70.881421	
70.996639	70.881356	71.491525	70.522324	70.996639	
70.996639	70.610169	71.050847	70.337974	70.863178	
70.996639	71.389831	71.491525	67.476716	70.955353	
70.996639	70.779661	71.966102	70.545367	70.955353	
70.996639	70.610169	71.355932	69.029285	70.955353	
71.070571	70.949153	71.796610	65.710034	71.070571	
71.070571	70.881356	71.830508	70.821892	70.840134	
71.070571	71.152542	71.627119	70.771003	70.978397	
71.070571	71.152542	71.457627	71.065771	70.973596	
71.070571	72.372881	72.542373	68.499280	71.001440	
71.139702	72.000000	72.067797	70.559770	71.139702	
71.139702	71.593220	71.932203	70.927508	71.047528	
71.139702	71.932203	72.372881	70.315891	71.088814	
71.139702	70.813559	71.898305	71.208833	70.886222	
71.139702	71.966102	72.372881	70.886222	70.904465	
71.139702	71.491525	71.728814	71.297168	70.950552	
71.139702	71.966102	72.779661	71.254921	70.789246	
71.139702	73.457627	73.084746	70.655785	70.812290	
71.139702	72.711864	73.050847	43.712914	70.983197	
71.139702	72.372881	72.508475	71.366299	71.042727	
71.139702	71.661017	72.372881	70.974556	70.858377	
71.139702	72.067797	72.610169	44.017283	71.116659	
71.139702	72.169492	73.694915	67.364378	71.111858	
71.139702	73.050847	73.084746	71.401824	71.019683	
71.227076	72.237288	73.491525	71.306769	71.227076	
71.227076	73.152542	73.796610	71.536246	71.088814	
71.416227	73.423729	73.423729	71.729237	71.416227	
71.416227	73.118644	73.830508	71.725396	71.277964	
71.416227	73.762712	73.796610	71.277964	71.259722	
71.416227	72.576271	74.101695	70.973596	71.347096	
71.485358	72.203390	73.796610	71.692751	71.485358	
71.623620	74.135593	74.033898	70.798848	71.623620	
71.623620	73.966102	74.067797	70.969755	71.508401	
71.710994	73.525424	74.440678	62.244839	71.710994	
71.710994	74.711864	74.610169	71.730197	71.660106	
71.710994	74.067797	74.711864	71.531445	71.692751	
71.761882	73.457627	74.237288	72.278445	71.761882	
71.784926	74.644068	74.237288	71.452712	71.784926	
71.784926	74.983051	74.101695	71.237638	71.646663	
71.877100	73.627119	74.101695	71.522804	71.877100	
71.877100	74.067797	74.576271	72.264042	71.738838	
72.038406	75.118644	73.898305	72.034566	72.038406	
72.038406	74.881356	75.118644	71.684109	71.831013	
72.107537	73.796610	74.271186	71.638022	72.107537	
72.153625	74.610169	75.322034	72.867019	72.153625	
72.153625	75.491525	75.694915	67.839654	72.130581	
72.153625	74.610169	75.728814	72.090254	72.084494	
72.291887	75.864407	75.118644	72.430149	72.291887	
72.291887	75.491525	75.254237	70.771003	72.268843	
72.291887	75.152542	75.254237	58.835334	72.245799	
72.291887	75.118644	75.118644	71.812770	72.227556	
72.291887	74.745763	76.135593	71.988478	72.245799	
72.291887	76.033898	74.983051	72.385022	72.158425	
72.481037	75.084746	75.355932	72.324532	72.481037	
72.481037	76.000000	75.898305	70.729717	72.434950	
72.573212	76.033898	76.338983	72.259241	72.573212	
72.573212	76.305085	76.305085	72.946711	72.370619	
72.573212	75.661017	75.728814	72.771003	72.481037	
72.573212	76.169492	76.169492	71.011042	72.550168	
72.573212	76.881356	76.203390	71.978877	72.434950	
72.573212	76.305085	76.474576	72.471435	72.462794	
72.573212	76.881356	76.305085	72.734518	72.453193	
72.775804	77.457627	77.084746	73.231877	72.775804	
72.844935	76.813559	76.305085	71.674508	72.844935	
72.844935	77.491525	76.915254	71.941431	72.573212	
72.914066	76.067797	76.949153	72.821892	72.914066	
