Best_Acc	Student_ACC	EMA_ACC	Validate_Acc	Ema_Valid_Acc	
9.332693	27.000000	31.166667	9.332693	9.332693	
9.332693	31.000000	40.500000	9.332693	6.244839	
9.332693	37.166667	41.833333	3.871339	1.866539	
48.046087	44.833333	40.166667	50.811330	48.046087	
52.793087	48.833333	43.833333	53.853096	52.793087	
52.793087	49.166667	52.000000	53.876140	52.447432	
53.668747	47.166667	50.500000	52.263082	53.668747	
53.668747	50.166667	48.666667	51.640903	53.530485	
53.668747	50.333333	43.666667	52.700912	52.516563	
53.668747	50.500000	46.500000	53.576572	51.318291	
53.668747	51.833333	43.666667	53.507441	50.027844	
53.668747	53.666667	45.166667	48.553048	49.451752	
53.668747	51.500000	45.833333	53.876140	49.152184	
53.668747	49.666667	47.166667	55.443111	49.221315	
53.668747	51.166667	46.333333	54.032645	49.497840	
53.668747	53.666667	48.500000	56.457033	49.820451	
53.668747	50.833333	47.500000	53.940470	50.120019	
53.668747	51.166667	48.333333	54.782525	50.212194	
53.668747	52.500000	49.000000	53.940470	50.626980	
53.668747	52.166667	49.833333	53.963514	50.557849	
53.668747	51.500000	48.500000	55.277004	51.180029	
53.668747	53.500000	49.000000	54.613538	51.456553	
53.668747	53.000000	50.166667	54.626980	51.617859	
53.668747	51.500000	49.333333	54.982237	51.779165	
53.668747	52.000000	49.666667	54.544407	51.825252	
53.668747	53.000000	50.833333	54.452232	52.193951	
53.668747	52.333333	49.666667	56.433029	52.216995	
53.668747	51.500000	51.666667	53.968315	52.216995	
53.668747	52.833333	50.000000	57.105137	52.677868	
53.668747	51.666667	51.000000	54.337014	52.908305	
53.668747	52.333333	51.500000	54.820931	52.654825	
53.668747	52.000000	52.000000	55.751320	53.138742	
53.668747	52.333333	51.000000	54.690350	53.138742	
53.668747	53.000000	52.333333	54.912146	53.207873	
53.668747	51.166667	52.166667	54.520403	53.323092	
53.668747	50.666667	51.000000	52.626020	53.277004	
53.668747	53.000000	51.666667	54.433029	53.184830	
53.668747	51.166667	52.000000	56.542487	53.184830	
53.668747	52.000000	51.666667	55.870379	53.023524	
53.668747	52.833333	51.833333	55.673548	53.415266	
53.668747	53.000000	53.833333	54.172828	53.415266	
53.668747	52.333333	52.000000	55.128181	53.392223	
53.668747	52.833333	52.500000	54.774844	53.553529	
53.876140	52.666667	51.500000	55.258761	53.876140	
53.922228	54.000000	53.166667	54.525204	53.922228	
53.922228	52.166667	51.333333	55.284686	53.760922	
53.922228	53.000000	52.333333	55.350936	53.760922	
53.922228	53.166667	53.166667	54.560730	53.807009	
53.945271	51.333333	52.000000	57.742679	53.945271	
53.968315	51.833333	52.833333	54.659626	53.968315	
53.968315	52.500000	52.833333	55.278925	53.945271	
53.968315	52.333333	53.166667	56.067211	53.922228	
53.968315	51.666667	51.833333	54.244839	53.968315	
53.968315	53.166667	53.333333	58.606817	53.945271	
53.968315	52.833333	53.833333	55.755161	53.922228	
53.991359	52.666667	53.000000	55.461354	53.991359	
53.991359	53.166667	53.000000	56.584734	53.991359	
54.083533	54.333333	52.666667	56.982237	54.083533	
54.083533	53.166667	53.166667	54.954393	54.050888	
54.083533	53.166667	52.000000	56.827652	54.060490	
54.179549	53.166667	53.000000	55.581373	54.179549	
54.189150	51.666667	52.500000	56.433029	54.189150	
54.313970	53.000000	53.000000	55.760922	54.313970	
54.313970	53.500000	52.833333	58.338934	54.267883	
54.313970	53.833333	53.666667	57.293327	54.240038	
54.313970	55.833333	52.666667	58.340855	54.152664	
54.313970	53.833333	52.666667	57.942391	54.244839	
54.313970	52.000000	52.500000	56.032645	54.263082	
54.313970	53.666667	52.166667	56.552088	54.235238	
54.340855	53.500000	52.666667	56.630821	54.340855	
