Best_Acc	Student_ACC	EMA_ACC	Validate_Acc	Ema_Valid_Acc	
60.794047	61.176471	61.176471	58.176668	60.794047	
60.794047	61.529412	59.588235	62.068171	60.655785	
60.899664	61.588235	61.705882	63.715795	60.899664	
61.074412	61.823529	60.764706	62.863178	61.074412	
61.074412	62.058824	60.117647	63.180989	61.070571	
61.614018	63.470588	64.117647	61.766683	61.614018	
62.153625	64.058824	64.647059	61.390302	62.153625	
62.153625	62.117647	62.000000	63.710994	61.641863	
62.153625	60.882353	61.352941	62.517523	61.831013	
62.153625	61.823529	61.058824	63.780125	61.844455	
62.364858	60.823529	61.058824	62.627940	62.364858	
62.364858	63.058824	62.529412	61.730197	62.181469	
62.600096	62.941176	62.470588	61.476716	62.600096	
62.775804	61.647059	62.176471	63.785886	62.775804	
62.872780	62.941176	62.705882	62.052808	62.872780	
62.881421	62.117647	62.647059	62.638502	62.881421	
63.080173	61.647059	62.411765	63.329813	63.080173	
63.241479	63.588235	62.647059	63.818531	63.241479	
63.241479	63.705882	62.176471	63.394143	63.213634	
63.241479	61.823529	61.470588	63.112818	63.180989	
63.480557	63.000000	63.352941	64.882381	63.480557	
63.891503	62.117647	63.294118	65.936630	63.891503	
63.891503	61.647059	61.117647	64.536726	63.485358	
64.148824	63.764706	63.941176	64.380221	64.148824	
64.148824	64.176471	62.882353	64.251560	63.997120	
64.388862	63.941176	63.823529	64.311090	64.388862	
64.471435	63.764706	63.705882	65.643783	64.471435	
64.771003	63.470588	64.411765	65.127220	64.771003	
64.771003	64.705882	64.588235	66.066251	64.425348	
64.771003	63.411765	62.823529	64.582813	64.637542	
65.200192	63.705882	64.117647	56.666347	65.200192	
65.200192	62.588235	62.235294	65.974076	65.098416	
65.213634	62.117647	63.529412	64.795007	65.213634	
65.213634	64.176471	64.058824	60.762362	64.918867	
65.328853	65.117647	64.823529	65.698512	65.328853	
65.347096	65.823529	65.176471	62.034566	65.347096	
65.453673	65.411765	63.823529	65.959674	65.453673	
65.467115	65.470588	65.823529	64.278445	65.467115	
65.822372	65.470588	64.823529	65.366299	65.822372	
65.822372	63.588235	63.588235	64.615458	65.504561	
65.822372	64.470588	64.117647	66.745079	65.753241	
65.822372	66.117647	65.058824	65.638982	65.762842	
66.006721	65.647059	64.470588	45.358617	66.006721	
66.006721	64.235294	65.000000	65.191551	65.955833	
66.071051	65.294118	65.235294	65.532405	66.071051	
66.149784	65.235294	65.882353	66.288046	66.149784	
66.181469	65.058824	65.705882	65.126260	66.181469	
66.357177	65.764706	66.705882	66.652904	66.357177	
66.490639	64.058824	64.235294	66.416707	66.490639	
66.490639	67.000000	66.294118	66.371579	66.398464	
66.661546	65.470588	66.117647	66.528084	66.661546	
66.679789	65.823529	65.823529	65.435430	66.679789	
66.679789	66.352941	67.058824	66.564570	66.375420	
66.679789	64.823529	65.529412	64.909265	66.628901	
66.679789	67.294118	67.411765	60.310130	66.559770	
67.025444	64.588235	65.294118	66.187230	67.025444	
67.076332	65.588235	65.705882	68.421507	67.076332	
67.186750	64.764706	64.764706	65.448872	67.186750	
67.186750	66.235294	65.941176	67.210754	67.158905	
67.348056	65.941176	66.352941	66.712434	67.348056	
67.458473	66.235294	66.647059	67.321171	67.458473	
67.458473	65.647059	67.000000	68.775804	67.135862	
67.458473	65.000000	67.176471	60.258281	67.343255	
67.458473	65.176471	65.235294	62.678829	67.440230	
67.458473	66.058824	66.176471	68.237158	67.366299	
67.596735	66.058824	65.941176	52.885262	67.596735	
67.596735	65.117647	65.882353	66.314930	67.209794	
67.596735	67.352941	67.882353	66.421507	67.555449	
67.642823	65.882353	65.823529	66.057609	67.642823	
67.642823	64.294118	64.647059	66.837254	67.578493	
67.642823	66.764706	66.411765	66.039366	67.550648	
67.642823	67.117647	67.705882	67.052328	67.596735	
67.665867	66.058824	65.705882	67.702352	67.665867	
67.734998	67.058824	67.117647	68.665386	67.734998	
67.734998	66.882353	67.294118	65.784926	67.734998	
67.896303	65.588235	64.411765	67.693711	67.896303	
67.896303	66.705882	66.117647	68.062410	67.896303	
67.896303	66.941176	66.058824	68.112338	67.804129	
67.896303	67.000000	66.588235	68.965915	67.850216	
68.311090	67.000000	67.411765	66.481037	68.311090	
68.338934	67.705882	67.705882	67.564090	68.338934	
68.338934	66.705882	67.058824	67.725396	67.983677	
68.338934	68.705882	67.823529	68.163226	68.057609	
68.338934	66.882353	67.000000	67.803169	68.103697	
68.338934	66.058824	66.764706	60.636582	68.246759	
68.338934	67.176471	67.647059	68.868939	68.177628	
68.601056	67.764706	67.352941	67.012002	68.601056	
68.601056	66.647059	68.529412	67.545847	68.241959	
68.601056	67.294118	67.176471	53.235718	68.518483	
68.601056	68.647059	69.294118	68.977436	68.587614	
68.601056	67.000000	68.117647	67.983677	68.582813	
69.015843	67.117647	67.176471	68.402304	69.015843	
69.015843	67.411765	68.235294	67.800288	68.454153	
69.015843	67.647059	67.823529	68.292847	68.841095	
69.015843	69.176471	69.705882	68.444551	68.987998	
69.015843	68.705882	68.764706	69.163706	69.002400	
