Best_Acc	Student_ACC	EMA_ACC	Validate_Acc	Ema_Valid_Acc	
52.885262	54.451613	57.139785	53.945271	52.885262	
53.991359	60.924731	60.838710	53.300048	53.991359	
54.083533	60.946237	61.569892	53.968315	54.083533	
54.290927	61.096774	61.591398	54.406145	54.290927	
54.406145	61.161290	61.741935	54.406145	54.406145	
54.452232	61.333333	61.612903	54.728757	54.452232	
54.498320	61.655914	62.000000	54.429189	54.498320	
54.544407	61.419355	61.892473	54.834373	54.544407	
54.636582	61.849462	61.978495	55.095535	54.636582	
54.659626	62.365591	62.688172	54.659626	54.659626	
54.659626	62.322581	62.129032	53.899184	54.613538	
54.659626	61.763441	62.172043	55.175228	54.544407	
54.659626	62.430108	62.150538	54.636582	54.585694	
54.659626	62.494624	62.365591	54.650024	54.590494	
54.659626	62.322581	62.494624	54.839174	54.562650	
54.659626	62.494624	62.903226	54.913106	54.585694	
54.682669	62.860215	63.204301	55.543927	54.682669	
54.723956	62.666667	63.096774	55.087854	54.723956	
54.839174	63.333333	62.795699	54.636582	54.839174	
54.839174	63.569892	63.032258	54.949592	54.728757	
54.839174	62.838710	62.860215	54.843975	54.705713	
54.839174	62.989247	63.440860	54.567451	54.774844	
54.913106	63.505376	63.311828	55.811810	54.913106	
54.936150	63.612903	63.397849	55.341335	54.936150	
55.410466	63.634409	63.268817	55.696591	55.410466	
55.410466	63.720430	63.698925	55.443111	55.212674	
55.433509	63.655914	63.397849	56.078733	55.433509	
55.489198	64.451613	63.913978	56.626980	55.489198	
55.834854	64.236559	64.516129	56.825732	55.834854	
56.019203	64.279570	64.365591	54.719155	56.019203	
56.152664	64.580645	64.344086	55.673548	56.152664	
56.221795	64.580645	64.903226	56.682669	56.221795	
56.424388	64.580645	64.559140	56.987038	56.424388	
56.631781	65.354839	64.903226	57.072492	56.631781	
56.954393	65.569892	65.333333	33.475756	56.954393	
56.972636	65.397849	65.268817	56.457033	56.972636	
57.161786	64.989247	65.333333	57.193471	57.161786	
57.405665	65.956989	65.806452	55.420067	57.405665	
57.608257	66.086022	65.849462	57.399904	57.608257	
57.672588	66.623656	66.064516	57.552568	57.672588	
57.879981	66.537634	66.623656	59.757081	57.879981	
58.151704	67.225806	66.473118	58.533845	58.151704	
58.533845	67.548387	67.397849	57.848296	58.533845	
59.099376	67.505376	67.397849	58.841095	59.099376	
59.375900	68.387097	68.344086	59.878060	59.375900	
59.665867	68.301075	67.870968	59.048488	59.665867	
59.978877	69.161290	68.817204	59.614018	59.978877	
60.181469	69.849462	68.860215	60.517523	60.181469	
60.365819	68.731183	69.010753	56.915026	60.365819	
60.545367	69.526882	69.870968	56.979357	60.545367	
60.932309	70.021505	70.473118	61.180029	60.932309	
60.978397	70.150538	71.010753	61.581373	60.978397	
61.637062	70.193548	70.860215	58.743159	61.637062	
61.853096	70.451613	71.526882	61.470955	61.853096	
61.973116	70.946237	71.806452	61.365338	61.973116	
62.060490	71.354839	71.741935	61.036966	62.060490	
62.180509	72.193548	72.666667	62.347576	62.180509	
62.493519	71.892473	73.204301	61.936630	62.493519	
62.521363	72.193548	73.290323	62.580893	62.521363	
62.700912	72.774194	73.677419	61.623620	62.700912	
62.867019	72.516129	73.806452	51.943351	62.867019	
63.083053	72.795699	73.548387	62.286126	63.083053	
63.083053	73.784946	74.473118	61.848296	63.060010	
63.083053	73.333333	74.623656	54.573212	63.083053	
63.129141	73.634409	74.387097	62.674028	63.129141	
63.244359	74.193548	74.752688	62.014402	63.244359	
63.244359	75.010753	75.612903	59.844455	63.170427	
63.336534	74.430108	75.376344	54.718195	63.336534	
63.336534	73.849462	75.612903	62.059530	63.272204	
63.336534	74.946237	76.559140	61.683149	63.203072	
63.433509	75.053763	76.559140	62.287086	63.433509	
63.663946	74.752688	75.956989	62.254441	63.663946	
63.663946	74.946237	76.516129	62.174748	63.433509	
63.663946	75.268817	77.247312	62.816131	63.364378	
63.663946	75.483871	77.505376	62.341815	63.433509	
63.663946	75.763441	76.838710	63.732117	63.617859	
63.756121	75.634409	77.591398	63.428709	63.756121	
63.756121	76.494624	78.172043	62.563610	63.663946	
63.756121	76.279570	77.892473	63.374940	63.663946	
63.756121	77.118280	78.021505	62.831493	63.622660	
63.825252	76.451613	78.064516	63.268363	63.825252	
63.825252	76.107527	78.043011	63.245319	63.737878	
63.880941	77.397849	78.537634	64.162266	63.880941	
64.004801	77.161290	79.333333	62.401344	64.004801	
64.004801	77.376344	79.225806	48.040326	63.973116	
64.004801	78.236559	79.247312	63.185790	63.996159	
64.042247	77.483871	79.268817	64.558809	64.042247	
64.070091	78.516129	79.569892	63.177148	64.070091	
64.070091	78.129032	79.225806	64.093135	64.070091	
64.088334	78.365591	80.236559	64.096976	64.088334	
64.484878	78.731183	80.000000	63.405665	64.484878	
64.484878	79.440860	79.913978	63.471916	64.346615	
64.530965	78.344086	80.236559	63.826212	64.530965	
64.530965	79.290323	80.365591	62.645223	64.374460	
64.530965	78.279570	80.860215	64.174748	64.420547	
64.530965	79.741935	81.118280	59.824292	64.420547	
64.530965	79.397849	81.548387	62.673068	64.466635	
64.535766	79.505376	81.290323	64.636582	64.535766	
64.535766	80.344086	81.526882	63.092655	64.507921	
64.581853	80.172043	81.913978	63.645703	64.581853	
64.581853	79.913978	81.870968	63.940470	64.526164	
64.581853	80.774194	81.720430	63.572732	64.554009	
64.627940	80.408602	81.763441	63.705233	64.627940	
64.627940	80.924731	82.516129	64.107537	64.535766	
64.627940	80.387097	82.924731	63.821411	64.512722	
64.627940	81.096774	82.559140	63.793567	64.627940	
64.627940	81.161290	82.838710	63.305809	64.604897	
64.627940	80.774194	83.010753	63.815651	64.627940	
64.817091	81.505376	83.311828	63.844455	64.817091	
64.817091	81.569892	83.956989	62.892943	64.535766	
64.817091	81.978495	83.655914	64.625060	64.674028	
64.817091	81.827957	84.172043	63.563130	64.743159	
64.817091	81.870968	83.741935	64.222756	64.812290	
64.881421	81.483871	84.236559	62.004801	64.881421	
64.950552	81.741935	84.086022	63.839654	64.950552	
65.001440	82.301075	84.494624	64.407105	65.001440	
65.037926	82.279570	84.688172	65.345175	65.037926	
65.042727	82.838710	84.537634	65.042727	65.042727	
65.227076	82.881720	84.666667	65.715795	65.227076	
65.227076	82.301075	84.795699	63.710994	64.978397	
65.227076	83.698925	85.763441	64.494479	65.111858	
65.227076	83.526882	85.354839	60.156505	64.955353	
65.227076	83.698925	85.935484	65.351896	64.950552	
65.227076	83.612903	85.204301	64.125780	65.070571	
65.227076	83.677419	85.440860	64.504081	65.180989	
65.273164	83.698925	85.827957	63.839654	65.273164	
65.273164	84.301075	86.365591	64.813250	65.273164	
65.273164	83.505376	85.376344	64.609698	65.088814	
65.273164	84.860215	86.279570	64.383101	64.812290	
65.273164	84.150538	86.903226	64.581853	64.904465	
65.273164	84.107527	86.731183	63.411426	65.093615	
65.273164	84.150538	87.225806	64.295727	64.996639	
65.273164	84.322581	87.032258	63.706193	64.858377	
65.273164	84.602151	86.688172	64.181469	64.812290	
65.273164	85.053763	86.387097	63.531445	64.932309	
65.273164	84.903226	86.838710	62.733557	64.927508	
65.273164	85.247312	86.752688	65.267403	65.185790	
65.273164	85.096774	86.881720	64.697072	65.268363	
65.273164	84.516129	87.612903	63.866539	65.222276	
65.273164	85.849462	87.935484	64.673068	65.176188	
65.273164	85.483871	87.569892	63.585214	65.245319	
65.273164	86.043011	87.741935	64.011522	65.227076	
65.273164	85.419355	87.827957	63.614978	65.199232	
65.388382	86.086022	87.935484	63.776284	65.388382	
65.388382	86.000000	87.827957	63.411426	65.277964	
65.439270	85.956989	88.473118	65.014882	65.439270	
65.577532	86.086022	87.892473	64.863178	65.577532	
65.784926	86.645161	88.408602	62.955353	65.784926	
65.784926	86.580645	88.000000	64.844935	65.485358	
65.784926	87.118280	88.064516	64.601056	65.687950	
65.964474	86.430108	88.451613	64.927508	65.964474	
65.964474	86.344086	88.709677	63.508401	65.687950	
65.964474	87.440860	88.967742	64.116179	65.831013	
65.992319	86.365591	88.967742	64.948632	65.992319	
65.992319	86.989247	88.408602	64.428229	65.969275	
65.992319	87.440860	89.311828	60.190110	65.738838	
65.992319	86.752688	88.688172	65.737878	65.831013	
65.992319	86.967742	88.731183	63.543927	65.900144	
65.992319	87.720430	89.247312	64.774844	65.803169	
65.992319	87.225806	89.354839	65.347096	65.775324	
65.992319	87.720430	89.397849	65.006241	65.692751	
65.992319	87.569892	89.462366	64.891023	65.784926	
66.107537	86.709677	89.440860	63.010082	66.107537	
66.107537	87.569892	89.268817	65.503601	65.641863	
66.107537	87.892473	90.064516	63.036966	65.895343	
66.107537	87.892473	90.021505	64.092175	65.992319	
66.107537	87.956989	90.215054	65.610178	65.784926	
66.107537	87.892473	89.763441	60.658665	65.877100	
66.107537	88.279570	89.763441	64.793087	66.084494	
66.107537	87.913978	89.935484	65.516083	66.107537	
66.194911	88.623656	89.763441	64.761402	66.194911	
66.194911	88.322581	90.129032	64.757561	66.079693	
66.194911	88.838710	89.978495	65.060970	65.918387	
66.194911	88.731183	90.408602	64.264042	65.849256	
66.194911	89.440860	90.473118	64.747000	65.895343	
66.194911	88.451613	90.301075	65.022564	65.964474	
66.194911	89.462366	91.376344	65.793567	65.872300	
66.194911	88.924731	90.451613	64.773884	65.872300	
66.194911	88.967742	90.430108	65.254921	65.577532	
66.194911	88.666667	91.010753	65.544887	65.757081	
66.194911	89.118280	90.752688	64.766203	65.849256	
66.194911	89.182796	90.430108	65.914546	65.992319	
66.194911	89.225806	91.204301	65.268363	65.941431	
66.305329	89.526882	90.795699	66.180509	66.305329	
66.305329	88.688172	91.612903	65.227076	66.287086	
66.305329	89.096774	91.053763	64.296687	65.992319	
66.305329	89.591398	90.967742	65.176188	66.074892	
66.305329	89.096774	91.053763	64.756601	66.056649	
66.305329	89.634409	90.774194	64.415747	66.264042	
66.305329	89.569892	91.290323	64.863178	66.287086	
66.305329	89.462366	91.225806	65.834854	66.222756	
66.305329	89.268817	91.204301	65.177148	66.171867	
66.305329	89.935484	90.989247	65.180989	66.010562	
66.305329	90.150538	91.225806	65.244359	66.139222	
66.305329	89.827957	91.096774	65.729237	66.208353	
66.305329	90.193548	91.182796	64.944791	66.093135	
66.305329	89.698925	91.354839	65.000480	65.964474	
66.305329	90.150538	90.774194	65.355737	66.051848	
66.305329	90.258065	91.741935	65.249160	66.070091	
66.305329	90.559140	91.548387	65.304849	65.977916	
66.305329	90.301075	91.913978	65.543927	66.065290	
66.305329	89.978495	91.849462	64.567451	65.996159	
